Ponto / Grupo,Data,Hora,Ativa C (kWh),Qualidade,Origem
RJAQTEENTR101 (L),03/04/2024,14,"979,010",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,15,"1.004,971",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,16,"823,234",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,17,"778,751",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,18,"40,970",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,19,"27,033",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,20,"28,795",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,21,"27,720",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,22,"23,714",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,23,"20,330",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,24,"17,673",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,1,"16,259",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,2,"15,714",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,3,"15,010",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,4,"14,752",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,5,"15,209",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,6,"579,367",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,7,"626,452",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,8,"647,437",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,9,"766,177",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,10,"787,268",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,11,"820,774",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,12,"781,532",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,13,"759,141",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,14,"776,893",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,15,"760,968",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,16,"788,445",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,17,"804,286",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,18,"633,542",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,19,"31,158",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,20,"25,481",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,21,"23,158",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,22,"20,987",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,23,"20,436",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),04/04/2024,24,"19,539",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,1,"18,249",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,2,"18,219",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,3,"18,269",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,4,"18,126",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,5,"18,327",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,6,"642,124",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,7,"711,896",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,8,"806,052",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,9,"811,792",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,10,"811,941",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,11,"799,347",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,12,"800,284",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,13,"762,036",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,14,"798,272",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,15,"779,487",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,16,"786,930",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,17,"630,450",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,18,"584,816",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,19,"37,089",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,20,"23,931",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,21,"20,162",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,22,"22,249",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,23,"18,798",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),05/04/2024,24,"19,093",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,1,"18,659",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,2,"18,022",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,3,"18,513",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,4,"16,233",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,5,"424,463",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,6,"599,816",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,7,"625,165",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,8,"610,666",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,9,"642,694",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,10,"673,806",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,11,"688,432",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,12,"679,939",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,13,"694,401",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,14,"635,423",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,15,"135,713",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,16,"21,249",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,17,"22,398",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,18,"22,768",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,19,"20,229",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,20,"21,295",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,21,"19,331",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,22,"20,959",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,23,"20,021",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),06/04/2024,24,"19,338",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,1,"19,781",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,2,"18,839",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,3,"18,851",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,4,"19,349",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,5,"18,120",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,6,"17,706",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,7,"20,193",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,8,"21,347",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,9,"20,757",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,10,"23,003",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,11,"23,987",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,12,"23,458",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,13,"22,546",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,14,"22,993",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,15,"21,700",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,16,"21,646",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,17,"21,554",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,18,"20,901",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,19,"20,319",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,20,"19,189",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,21,"21,199",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,22,"19,568",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,23,"18,970",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),07/04/2024,24,"18,302",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,1,"17,852",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,2,"18,199",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,3,"18,015",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,4,"17,985",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,5,"18,349",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,6,"20,195",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,7,"25,304",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,8,"38,152",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,9,"65,325",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,10,"64,605",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,11,"78,466",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,12,"93,075",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,13,"508,598",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,14,"747,890",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,15,"803,449",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,16,"795,004",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,17,"827,322",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,18,"622,872",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,19,"35,243",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,20,"22,968",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,21,"22,984",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,22,"21,330",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,23,"19,568",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),08/04/2024,24,"19,474",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,1,"18,861",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,2,"17,897",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,3,"17,846",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,4,"17,911",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,5,"18,138",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,6,"465,938",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,7,"646,235",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,8,"791,846",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,9,"769,822",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,10,"816,214",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,11,"832,382",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,12,"809,373",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,13,"724,823",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,14,"794,342",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,15,"775,185",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,16,"792,538",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,17,"778,481",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,18,"329,875",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,19,"35,117",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,20,"34,454",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,21,"33,985",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,22,"23,821",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,23,"15,635",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),09/04/2024,24,"15,266",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,1,"13,836",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,2,"13,795",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,3,"13,279",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,4,"13,613",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),10/04/2024,5,"13,904",Completo,COLETA DIÁRIA
