Ponto / Grupo,Data,Hora,Ativa C (kWh),Qualidade,Origem
RJAQTEENTR101 (L),31/08/2024,4,"12,810",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,5,"13,542",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,6,"99,167",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,7,"606,604",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,8,"620,537",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,9,"619,567",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,10,"594,126",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,11,"623,830",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,12,"568,294",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,13,"637,427",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,14,"590,308",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,15,"638,268",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,16,"342,848",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,17,"78,097",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,18,"20,898",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,19,"22,397",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,20,"19,378",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,21,"17,304",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,22,"16,195",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,23,"14,962",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),31/08/2024,24,"14,255",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/12/2024,1,"16,040",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,2,"16,267",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,3,"16,272",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,4,"16,293",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,5,"16,474",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,6,"14,480",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,7,"15,949",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,8,"16,312",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,9,"16,576",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,10,"16,162",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,11,"95,187",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,12,"17,777",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,13,"19,481",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,14,"18,247",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,15,"16,612",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,16,"16,257",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,17,"18,772",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,18,"17,891",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,19,"19,415",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,20,"18,455",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,21,"19,643",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,22,"17,020",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,23,"17,048",Completo,AJUSTADO
RJAQTEENTR101 (L),01/12/2024,24,"15,853",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,1,"15,456",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,2,"15,215",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,3,"15,223",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,4,"15,052",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,5,"15,819",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,6,"15,504",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,7,"251,787",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,8,"1.144,766",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,9,"763,514",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,10,"551,102",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,11,"1.204,781",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,12,"282,097",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,13,"462,263",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,14,"927,074",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,15,"607,519",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,16,"7,938",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,17,"0,000",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,18,"0,433",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,19,"33,248",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,20,"34,036",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,21,"29,224",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,22,"29,720",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,23,"28,843",Completo,AJUSTADO
RJAQTEENTR101 (L),02/12/2024,24,"22,834",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,1,"19,937",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,2,"19,560",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,3,"18,249",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,4,"18,143",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,5,"18,361",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,6,"42,179",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,7,"110,466",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,8,"832,515",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,9,"703,393",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,10,"761,835",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,11,"969,885",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,12,"1.093,228",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,13,"943,632",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,14,"768,125",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,15,"1.159,892",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,16,"1.203,843",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,17,"1.033,254",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,18,"688,181",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,19,"0,000",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,20,"0,000",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,21,"17,221",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,22,"19,106",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,23,"15,900",Completo,AJUSTADO
RJAQTEENTR101 (L),03/12/2024,24,"15,740",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,1,"15,681",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,2,"15,284",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,3,"21,842",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,4,"20,424",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,5,"20,864",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,6,"59,219",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,7,"174,697",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,8,"1.080,337",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,9,"1.165,220",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,10,"1.071,993",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,11,"1.090,115",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,12,"1.048,889",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,13,"933,066",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,14,"1.053,796",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,15,"1.035,094",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,16,"992,831",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,17,"1.027,304",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,18,"907,321",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,19,"38,190",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,20,"31,342",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,21,"27,739",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,22,"25,762",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,23,"26,172",Completo,AJUSTADO
RJAQTEENTR101 (L),04/12/2024,24,"25,851",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,1,"25,110",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,2,"24,711",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,3,"24,486",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,4,"23,565",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,5,"23,133",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,6,"730,401",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,7,"992,370",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,8,"1.128,902",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,9,"1.191,392",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,10,"1.194,525",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,11,"1.205,431",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,12,"1.215,232",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,13,"753,067",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,14,"893,117",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,15,"890,116",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,16,"816,023",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,17,"845,666",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,18,"301,444",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,19,"27,163",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,20,"30,851",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,21,"27,941",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,22,"26,611",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,23,"25,086",Completo,AJUSTADO
RJAQTEENTR101 (L),05/12/2024,24,"24,909",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,1,"24,674",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,2,"24,590",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,3,"24,374",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,4,"24,161",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,5,"26,059",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,6,"771,646",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,7,"980,621",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,8,"1.067,616",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,9,"1.118,416",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,10,"1.137,501",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,11,"1.163,853",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,12,"1.184,477",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,13,"956,011",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,14,"1.167,159",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,15,"1.191,349",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,16,"1.163,561",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,17,"1.122,893",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,18,"943,274",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,19,"45,557",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,20,"43,510",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,21,"34,753",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,22,"24,967",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,23,"25,108",Completo,AJUSTADO
RJAQTEENTR101 (L),06/12/2024,24,"24,217",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,1,"24,366",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,2,"19,030",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,3,"16,786",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,4,"15,897",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,5,"15,461",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,6,"385,636",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,7,"1.123,885",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,8,"1.191,623",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,9,"1.114,245",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,10,"1.140,963",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,11,"1.185,711",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,12,"1.133,044",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,13,"928,646",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,14,"1.070,143",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,15,"1.069,362",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,16,"781,913",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,17,"400,476",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,18,"309,955",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,19,"45,069",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,20,"36,735",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,21,"40,074",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,22,"38,566",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,23,"38,818",Completo,AJUSTADO
RJAQTEENTR101 (L),07/12/2024,24,"38,560",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,1,"37,591",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,2,"36,314",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,3,"33,770",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,4,"28,526",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,5,"25,023",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,6,"16,164",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,7,"15,612",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,8,"16,152",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,9,"16,870",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,10,"20,170",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,11,"20,125",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,12,"19,709",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,13,"19,964",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,14,"20,750",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,15,"21,675",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,16,"21,869",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,17,"22,089",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,18,"21,866",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,19,"21,327",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,20,"24,552",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,21,"25,081",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,22,"17,593",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,23,"17,184",Completo,AJUSTADO
RJAQTEENTR101 (L),08/12/2024,24,"16,537",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,1,"16,647",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,2,"12,850",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,3,"13,016",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,4,"12,690",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,5,"12,470",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,6,"421,240",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,7,"16,510",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,8,"20,209",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,9,"14,091",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,10,"12,762",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,11,"12,461",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,12,"13,941",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,13,"13,497",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,14,"21,289",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,15,"27,009",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,16,"23,663",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,17,"20,985",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,18,"18,657",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,19,"17,473",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,20,"18,619",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,21,"19,821",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,22,"29,335",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,23,"21,440",Completo,AJUSTADO
RJAQTEENTR101 (L),09/12/2024,24,"20,071",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,1,"20,171",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,2,"19,549",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,3,"18,595",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,4,"18,037",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,5,"19,577",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,6,"722,638",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,7,"1.021,561",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,8,"993,569",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,9,"742,456",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,10,"965,571",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,11,"1.154,034",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,12,"1.145,696",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,13,"1.070,315",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,14,"1.155,334",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,15,"1.166,134",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,16,"1.189,915",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,17,"1.093,954",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,18,"337,659",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,19,"46,163",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,20,"48,111",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,21,"37,335",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,22,"2,067",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,23,"0,000",Completo,AJUSTADO
RJAQTEENTR101 (L),10/12/2024,24,"0,000",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,1,"0,000",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,2,"0,074",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,3,"0,071",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,4,"0,000",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,5,"0,000",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,6,"6,514",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,7,"30,553",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,8,"65,412",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,9,"40,415",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,10,"37,532",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,11,"39,121",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,12,"40,511",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,13,"28,581",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,14,"24,140",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,15,"17,114",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,16,"23,616",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,17,"19,708",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,18,"15,590",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,19,"26,921",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,20,"22,457",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,21,"21,223",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,22,"21,653",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,23,"21,714",Completo,AJUSTADO
RJAQTEENTR101 (L),11/12/2024,24,"18,864",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,1,"18,529",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,2,"18,271",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,3,"18,027",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,4,"18,041",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,5,"18,253",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,6,"279,888",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,7,"387,563",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,8,"1.147,550",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,9,"1.188,649",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,10,"1.168,127",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,11,"1.203,393",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,12,"1.179,158",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,13,"1.115,911",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,14,"1.183,436",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,15,"1.130,348",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,16,"1.173,788",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,17,"1.217,023",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,18,"1.041,722",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,19,"46,077",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,20,"44,083",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,21,"40,346",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,22,"40,421",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,23,"38,661",Completo,AJUSTADO
RJAQTEENTR101 (L),12/12/2024,24,"38,371",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,1,"37,776",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,2,"37,363",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,3,"36,172",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,4,"35,995",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,5,"63,346",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,6,"799,958",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,7,"904,216",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,8,"1.167,921",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,9,"1.177,368",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,10,"1.102,777",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,11,"1.076,241",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,12,"1.161,577",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,13,"1.128,452",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,14,"772,773",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,15,"1.252,567",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,16,"1.227,029",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,17,"1.236,756",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,18,"1.043,282",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,19,"29,461",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,20,"29,718",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,21,"28,952",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,22,"28,107",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,23,"25,341",Completo,AJUSTADO
RJAQTEENTR101 (L),13/12/2024,24,"25,668",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,1,"24,640",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,2,"24,418",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,3,"23,800",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,4,"23,732",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,5,"24,469",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,6,"842,497",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,7,"1.181,785",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,8,"1.176,972",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,9,"1.179,396",Completo,AJUSTADO
RJAQTEENTR101 (L),14/12/2024,10,"1.150,408",Completo,AJUSTADO
